dt,open_price,high,low,close_price,volume
2015-02-17 15:00:00,127.61,127.82,127.53,127.60,1201110
2015-02-17 15:05:00,127.61,127.86,127.60,127.82,908124
2015-02-17 15:10:00,127.83,128.13,127.81,128.11,1412500
2015-02-17 15:15:00,128.10,128.40,128.09,128.39,1579834
2015-02-17 15:20:00,128.39,128.44,128.08,128.23,1203996
2015-02-17 15:25:00,128.24,128.37,128.11,128.20,712380
2015-02-17 15:30:00,128.19,128.46,128.18,128.45,919240
2015-02-17 15:35:00,128.45,128.63,128.43,128.57,1195160
2015-02-17 15:40:00,128.56,128.71,128.51,128.66,842704
2015-02-17 15:45:00,128.66,128.80,128.59,128.79,760238
2015-02-17 15:50:00,128.79,128.82,128.66,128.74,931585
2015-02-17 15:55:00,128.76,128.88,128.61,128.62,889588
2015-02-17 16:00:00,128.61,128.69,128.50,128.51,867421
2015-02-17 16:05:00,128.51,128.69,128.37,128.38,879525
2015-02-17 16:10:00,128.38,128.39,128.13,128.25,1186404
2015-02-17 16:15:00,128.25,128.34,128.13,128.17,773086
2015-02-17 16:20:00,128.17,128.21,128.03,128.13,698720
2015-02-17 16:25:00,128.14,128.45,128.13,128.43,968879
2015-02-17 16:30:00,128.43,128.50,128.35,128.42,541728
2015-02-17 16:35:00,128.43,128.57,128.39,128.50,543956
2015-02-17 16:40:00,128.49,128.52,128.30,128.35,357352
2015-02-17 16:45:00,128.35,128.38,128.17,128.28,413166
2015-02-17 16:50:00,128.29,128.43,128.29,128.37,375950
2015-02-17 16:55:00,128.38,128.41,128.25,128.32,430453
2015-02-17 17:00:00,128.32,128.49,128.31,128.44,437903
2015-02-17 17:05:00,128.45,128.48,128.38,128.46,370206
2015-02-17 17:10:00,128.47,128.49,128.38,128.40,337303
2015-02-17 17:15:00,128.39,128.40,128.14,128.24,570890
2015-02-17 17:20:00,128.24,128.28,128.02,128.06,587164
2015-02-17 17:25:00,128.05,128.07,127.89,128.05,962718
2015-02-17 17:30:00,128.05,128.11,128.02,128.09,310782
2015-02-17 17:35:00,128.09,128.25,128.07,128.13,461745
2015-02-17 17:40:00,128.12,128.24,128.11,128.12,256223
2015-02-17 17:45:00,128.13,128.13,127.63,127.73,850556
2015-02-17 17:50:00,127.73,127.84,127.65,127.77,702909
2015-02-17 17:55:00,127.76,127.77,127.27,127.31,1118550
2015-02-17 18:00:00,127.32,127.49,127.30,127.44,705248
2015-02-17 18:05:00,127.45,127.80,127.43,127.76,664475
2015-02-17 18:10:00,127.76,127.92,127.66,127.74,667344
2015-02-17 18:15:00,127.74,127.85,127.62,127.70,384005
2015-02-17 18:20:00,127.69,127.83,127.63,127.78,368292
2015-02-17 18:25:00,127.77,127.89,127.76,127.83,356827
2015-02-17 18:30:00,127.84,127.85,127.73,127.81,301701
2015-02-17 18:35:00,127.81,127.81,127.49,127.49,568820
2015-02-17 18:40:00,127.49,127.64,127.45,127.48,462571
2015-02-17 18:45:00,127.48,127.67,127.47,127.65,364257
2015-02-17 18:50:00,127.65,127.66,127.38,127.65,561989
2015-02-17 18:55:00,127.65,127.65,127.53,127.53,281057
2015-02-17 19:00:00,127.53,127.66,127.48,127.65,307263
2015-02-17 19:05:00,127.64,127.66,127.53,127.63,263201
2015-02-17 19:10:00,127.63,127.64,127.49,127.52,148037
2015-02-17 19:15:00,127.51,127.57,127.41,127.45,350999
2015-02-17 19:20:00,127.46,127.55,127.34,127.42,381985
2015-02-17 19:25:00,127.43,127.59,127.41,127.59,382513
2015-02-17 19:30:00,127.58,127.69,127.56,127.63,503880
2015-02-17 19:35:00,127.64,127.64,127.53,127.58,372126
2015-02-17 19:40:00,127.58,127.64,127.55,127.55,287925
2015-02-17 19:45:00,127.55,127.68,127.55,127.62,339272
2015-02-17 19:50:00,127.62,127.78,127.57,127.75,463911
2015-02-17 19:55:00,127.74,127.76,127.65,127.73,372712
2015-02-17 20:00:00,127.73,127.75,127.65,127.67,249123
2015-02-17 20:05:00,127.67,127.75,127.62,127.72,373431
2015-02-17 20:10:00,127.73,128.09,127.72,128.05,1007920
2015-02-17 20:15:00,128.05,128.06,127.81,127.83,569966
2015-02-17 20:20:00,127.83,127.97,127.82,127.94,364675
2015-02-17 20:25:00,127.95,128.05,127.90,128.03,502849
